step,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,tau_meas_0,tau_meas_1,tau_meas_2,tau_meas_3,tau_meas_4,tau_meas_5,tau_no_contact_0,tau_no_contact_1,tau_no_contact_2,tau_no_contact_3,tau_no_contact_4,tau_no_contact_5,tau_ext_0,tau_ext_1,tau_ext_2,tau_ext_3,tau_ext_4,tau_ext_5,F_ee_x,F_ee_y,F_ee_z
132,-1.2019012781715444e-10,0.6439862970071841,-0.0026201109424834118,-3.1400135846610793,0.9348717859683533,0.0015785018912032993,-8.605779874332088e-15,-1.040105501726174e-13,6.966382332107557e-12,2.5924275137072066e-13,-4.242188197944863e-11,2.759885893498064e-13,5.1443891877356855e-12,3.591240638201043e-09,-3.6912248257969793e-09,-2.0353794658815177e-10,2.933963155760111e-08,-1.7898286856516538e-10,-3.8502586614319954e-13,-48.745976336134476,-40.09519053831182,8.767750996480771e-08,0.00045536215925440476,8.484064302034273e-14,3.9821451313750603e-11,-48.74597633040027,-40.095190539575,8.767573146451082e-08,0.0004553624711031681,-2.122328681619815e-13,4.02064771798938e-11,5.734207775276445e-09,-1.2631815593522333e-09,-1.7785002968911543e-12,3.118487633380594e-10,-2.9707351118232423e-13,8.599904579661532e-09,2.2840762999346117e-11,-6.266450659527856e-09
133,-1.201900743622583e-10,0.6439862970072461,-0.002620110942518469,-3.140013584661082,0.9348717859686859,0.0015785018912013418,1.2829175074566601e-14,1.4859492108998396e-11,-8.41372110871319e-12,-5.888320260799117e-13,7.982658284388933e-11,-4.697733630050493e-13,-5.009490899491676e-12,-4.13164585877368e-09,3.5588361424476744e-09,2.36460254046493e-10,-3.03051267414034e-08,1.8462622381441862e-10,3.960316553727168e-11,-48.745976330400644,-40.09519053939834,8.767573333126766e-08,0.00045536247108964874,-2.1221001318491117e-13,-3.863778267436018e-11,-48.74597634179647,-40.095190537450776,8.76807641603803e-08,0.00045536180958795694,1.0792018976338954e-13,-7.824094821163186e-11,-1.1395826504667639e-08,1.9475621115816466e-09,5.0308291126371466e-12,-6.615016918021417e-10,3.201302029483007e-13,-1.6297492019407002e-08,-4.440737012592328e-11,1.2171326366837186e-08
134,-1.2019010787769027e-10,0.6439862970072363,-0.0026201109424917406,-3.14001358466108,0.9348717859684924,0.0015785018912025898,-8.04370367331538e-15,-2.3556989692252728e-12,6.41476281815212e-12,3.964190324471425e-13,-4.6444778578624835e-11,2.9950256955502824e-13,-5.282349874896099e-14,-2.2325225002006732e-10,-4.9826809345177026e-12,-3.508903860830956e-11,1.0609521594595606e-09,-8.597276536514986e-12,-3.831422037726449e-11,-48.745976341422235,-40.0951905376592,8.768076223525903e-08,0.00045536180962761803,1.0790764553410271e-13,-5.622796321626138e-13,-48.74597633514562,-40.09519053752728,8.767747663282793e-08,0.0004553621606378312,9.349657873869511e-14,3.775194074510188e-11,6.276614783473633e-09,1.319193643212202e-10,-3.2856024311054712e-12,3.5101021319140085e-10,-1.44110667954076e-14,7.3142795954889895e-09,2.1403437683079066e-11,-6.119749976229626e-09
135,-1.2019014231019688e-10,0.6439862970072227,-0.0026201109424650987,-3.1400135846610793,0.9348717859683173,0.0015785018912036885,-8.263801584769385e-15,-3.28591667764222e-12,6.3940016475916295e-12,2.502147049125193e-13,-4.2024144580876666e-11,2.636805839862158e-13,5.149127091937141e-12,3.6732650254833743e-09,-3.6636881028950796e-09,-2.0132027230175542e-10,2.9280910196494148e-08,-1.7802756827316885e-10,-7.653530620554905e-13,-48.74597633520331,-40.09519053736539,8.767747833754501e-08,0.0004553621606203546,9.350203723503313e-14,3.987158363435247e-11,-48.74597632943329,-40.095190538648524,8.767576304035528e-08,0.00045536247244473867,-2.1513039500679698e-13,4.063693669640796e-11,5.770019129158754e-09,-1.283133599372377e-09,-1.7152971897291643e-12,3.118243840764291e-10,-3.086324322418301e-13,8.670998848602259e-09,2.3087158204554782e-11,-6.311846553025739e-09
136,-1.2019008734813592e-10,0.6439862970072727,-0.0026201109425020627,-3.140013584661082,0.9348717859686506,0.0015785018912016964,1.3190894631635369e-14,1.201935426187184e-11,-8.871365447804536e-12,-5.886197630114616e-13,7.997964790451562e-11,-4.781009504853211e-13,-5.025396786989496e-12,-4.047027712950069e-09,3.578540797022356e-09,2.364732961854764e-10,-3.034658274669866e-08,1.8495845968084096e-10,3.966241927770617e-11,-48.745976329514505,-40.09519053848739,8.767576307427849e-08,0.0004553624724287692,-2.15109383140561e-13,-3.876242771728865e-11,-48.74597634087006,-40.09519053657521,8.768076284985092e-08,0.0004553618109930597,1.0989593814953195e-13,-7.842484699499482e-11,-1.1355552942404756e-08,1.9121770833407936e-09,4.999775572432366e-12,-6.614357094805387e-10,3.2500532129009296e-13,-1.6199657764751676e-08,-4.4512072796729293e-11,1.211398752723462e-08
137,-1.2019011963254695e-10,0.6439862970072525,-0.002620110942476899,-3.14001358466108,0.934871785968457,0.0015785018912029155,-7.74825864748753e-15,-4.8432612087534466e-12,6.039221206455281e-12,3.9668563776135667e-13,-4.646444687339546e-11,2.925592981848496e-13,-5.163364192179972e-14,-1.4187734320714185e-10,1.1487477635796495e-11,-3.285622750433259e-11,1.026908558188211e-09,-7.889896418492026e-12,-3.843072068306894e-11,-48.745976340568134,-40.095190536796316,8.768076158996562e-08,0.0004553618110304441,1.0988111366696178e-13,-5.410060092220446e-13,-48.745976334275035,-40.09519053670833,8.767750966460532e-08,0.00045536216199871886,8.887191961018417e-14,3.788971467384689e-11,6.293099374943267e-09,8.79865069691732e-11,-3.2519253602948088e-12,3.509682747876962e-10,-2.100919405677761e-14,7.395097157931435e-09,2.1482947464217367e-11,-6.157574089290295e-09
138,-1.2019015281337537e-10,0.6439862970072299,-0.0026201109424515362,-3.1400135846610793,0.9348717859682812,0.0015785018912039975,-7.963398822161695e-15,-5.434416805449871e-12,6.087085696604433e-12,2.5978468982663754e-13,-4.2185661214277914e-11,2.5968472977446616e-13,5.090858336007637e-12,3.751200183810255e-09,-3.6511202394784448e-09,-2.0103495040543762e-10,2.9253671984807994e-08,-1.774358996320044e-10,-7.38530021142743e-13,-48.74597633439594,-40.095190536556785,8.767751228321251e-08,0.0004553621619792613,8.887542130107701e-14,3.941528819574182e-11,-48.745976328625744,-40.09519053789386,8.767576494811052e-08,0.00045536247373565043,-2.1267626388071045e-13,4.0153818216884565e-11,5.770196764842694e-09,-1.3370780038712837e-09,-1.7473351019944069e-12,3.117563891503333e-10,-3.015516851817875e-13,8.745880071511583e-09,2.281242700894108e-11,-6.338306215995453e-09
139,-1.2019009761124656e-10,0.6439862970072724,-0.002620110942489561,-3.1400135846610815,0.9348717859686133,0.001578501891201999,1.324851091120346e-14,1.0195583960426191e-11,-9.12591530122242e-12,-5.778609368626859e-13,7.970463872242206e-11,-4.796315186922188e-13,-5.049973551715615e-12,-3.9801395512739646e-09,3.594300690412666e-09,2.3204166534193313e-10,-3.037165269281772e-08,1.8479075040989112e-10,3.9213193127822864e-11,-48.745976328761664,-40.09519053774134,8.767576657640627e-08,0.0004553624737177899,-2.12657958733938e-13,-3.89743465949277e-11,-48.74597634013625,-40.095190535881905,8.76806919799417e-08,0.0004553618121950689,1.2725160212572692e-13,-7.818753972275056e-11,-1.137458838229577e-08,1.8594334960653214e-09,4.925403535427928e-12,-6.615227209874792e-10,3.3990956085966496e-13,-1.614975792188101e-08,-4.437902504058552e-11,1.2107248830607202e-08
140,-1.2019013008226971e-10,0.6439862970072457,-0.0026201109424651846,-3.1400135846610797,0.9348717859684181,0.0015785018912032088,-7.79304555427827e-15,-6.388330836548661e-12,5.850337575497022e-12,3.8897933539536883e-13,-4.6843914164318434e-11,2.903299413489942e-13,1.3052131854566487e-15,-7.4687755979852e-11,1.941988236886516e-11,-3.3430391430371714e-11,1.013250316983516e-09,-7.977289076706306e-12,-3.863831683708276e-11,-48.745976339880634,-40.09519053611003,8.768069164409164e-08,0.0004553618122308462,1.272344435732479e-13,-1.2536757915180687e-13,-48.74597633360253,-40.09519053608463,8.767750107598072e-08,0.0004553621631574695,9.099211060403125e-14,3.851294925793095e-11,6.278106923218729e-09,2.5401902803423582e-11,-3.1905681109181305e-12,3.5092662326388635e-10,-3.624233296921665e-14,7.463506410482888e-09,2.1838723945562687e-11,-6.173123805459557e-09
141,-1.201901625306329e-10,0.6439862970072179,-0.002620110942440471,-3.140013584661079,0.9348717859682405,0.00157850189120428,-7.787607166005534e-15,-6.699529819798045e-12,5.93125375203396e-12,2.4968603776882e-13,-4.2622037843553784e-11,2.570912368627179e-13,5.066327587405168e-12,3.807943960154603e-09,-3.640626550227566e-09,-2.0080909347462358e-10,2.9242377685978482e-08,-1.7696208430909022e-10,-3.2216919298171215e-13,-48.74597633376265,-40.09519053593835,8.767750277598844e-08,0.0004553621631365804,9.099617301172976e-14,3.9225273180561134e-11,-48.745976328026686,-40.095190537332314,8.767576660882842e-08,0.00045536247480364053,-2.1048089159527876e-13,3.9547442373542847e-11,5.735962815833773e-09,-1.3939640552962373e-09,-1.7361671600173683e-12,3.11667060107039e-10,-3.014770646070085e-13,8.783060056416266e-09,2.2468644808908755e-11,-6.331921960351038e-09
142,-1.2019010702191992e-10,0.6439862970072561,-0.0026201109424789626,-3.1400135846610815,0.9348717859685706,0.001578501891202279,1.3322091114849334e-14,9.1669033475128e-12,-9.238023540580897e-12,-5.870185183754449e-13,7.922120251468989e-11,-4.802507810918247e-13,-5.051237198876768e-12,-3.92355148370882e-09,3.5976721601826966e-09,2.360206902965109e-10,-3.0373885073764484e-08,1.8510592960773592e-10,3.9026097184093164e-11,-48.745976328194686,-40.09519053718409,8.767576505363813e-08,0.00045536247478456134,-2.1046170025643575e-13,-3.896798245154026e-11,-48.74597633959686,-40.09519053538719,8.76807550181494e-08,0.0004553618132010272,1.1253936004275997e-13,-7.799407963563343e-11,-1.1402171651297976e-08,1.796898629891075e-09,4.989964511274138e-12,-6.615835341583845e-10,3.230010602991957e-13,-1.6096697242224782e-08,-4.426724294356895e-11,1.2104262479671561e-08
143,-1.201901392082972e-10,0.6439862970072261,-0.002620110942454995,-3.1400135846610797,0.9348717859683733,0.0015785018912034916,-7.724730547137198e-15,-7.1812278346072844e-12,5.752277126847005e-12,3.9640102452668385e-13,-4.733665195932879e-11,2.91023925607075e-13,5.051622693100184e-12,3.81381343173004e-09,-3.6154421123590907e-09,-2.3124841234609117e-10,3.0286726460104774e-08,-1.852309142657757e-10,-3.863166154952958e-11,-48.74597633936745,-40.0951905356186,8.768075626415218e-08,0.0004553618132357459,1.1252352909739597e-13,3.898320742486631e-11,-48.745976327749865,-40.095190537028124,8.767531887696088e-08,0.0004553624877296465,-1.3425975507707754e-13,7.761486897439588e-11,1.1617586892498366e-08,-1.4095249412093835e-09,-5.437387191296328e-12,6.744939006191747e-10,-2.467832841744735e-13,1.5817685853078945e-08,4.4039545095415e-11,-1.2127689693935292e-08
144,-1.2019008369289162e-10,0.6439862970072624,-0.002620110942493795,-3.140013584661082,0.9348717859687019,0.0015785018912014884,1.3323697340780234e-14,8.709661464267882e-12,-9.31206500798254e-12,-5.671340269153627e-13,7.88580416244411e-11,-4.807715505003238e-13,-5.024519485319871e-12,-3.891015842860668e-09,3.597097203433819e-09,2.2996151532485298e-10,-3.036477902451651e-08,1.852043599861672e-10,3.8785563423227096e-11,-48.74597632793018,-40.095190536884644,8.767532057922889e-08,0.0004553624877079582,-1.3425684625690158e-13,-3.877694586377012e-11,-48.745976339307695,-40.09519053512582,8.768065701955675e-08,0.00045536181385759795,1.3930080922186512e-13,-7.756250928699722e-11,-1.1377515818367101e-08,1.7588206446816912e-09,5.336440327861066e-12,-6.738503602224215e-10,2.735576554787667e-13,-1.6009755064175276e-08,-4.401339842231137e-11,1.205875561071858e-08
145,-1.201901154087271e-10,0.6439862970072311,-0.0026201109424701455,-3.14001358466108,0.9348717859685033,0.0015785018912027006,-7.611800514719229e-15,-7.502904547651568e-12,5.675840006325039e-12,3.910389536048581e-13,-4.766187097771102e-11,2.9091328277537284e-13,-7.394875879853215e-14,-1.2442546992730286e-11,3.6285141558067835e-11,-3.349627053592791e-11,1.005618921467999e-09,-7.26113179999599e-12,-3.844114097185392e-11,-48.74597633908981,-40.09519053535915,8.768065668310759e-08,0.00045536181389174983,1.392813541476639e-13,-7.155804093235132e-13,-48.74597633290191,-40.09519053541972,8.767749683786332e-08,0.0004553621645195913,9.582552453079125e-14,3.77255605625304e-11,6.187896417486627e-09,-6.056666279619094e-11,-3.1598452442629707e-12,3.506278414854881e-10,-4.345582961687264e-14,7.473039928591891e-09,2.1392528524574863e-11,-6.125179445922728e-09
146,-1.201901484083952e-10,0.6439862970071996,-0.0026201109424458663,-3.1400135846610793,0.9348717859683222,0.0015785018912037867,-7.919920343046446e-15,-7.55474849345461e-12,5.827028096150322e-12,2.5147115970515846e-13,-4.347179213826102e-11,2.606585669420562e-13,5.102229172048166e-12,3.869336517858812e-09,-3.632750350535119e-09,-2.0140332598287541e-10,2.924343933674578e-08,-1.773803353548667e-10,-9.104811374703477e-13,-48.74597633309041,-40.09519053527829,8.767749628011086e-08,0.0004553621644974314,9.582925977784956e-14,3.950428768170656e-11,-48.745976327407355,-40.095190536757165,8.767575910764041e-08,0.000455362476044253,-2.1068642301225956e-13,4.041476881917691e-11,5.683055803729076e-09,-1.4788739122195693e-09,-1.737172470441119e-12,3.1154682159821936e-10,-3.0651568279010915e-13,8.836355936411038e-09,2.2961297047299903e-11,-6.320588601130235e-09
147,-1.2019009282769574e-10,0.6439862970072353,-0.0026201109424846556,-3.140013584661082,0.9348717859686487,0.0015785018912017933,1.3339367873820913e-14,8.567486997623774e-12,-9.309431697746007e-12,-5.877093652234891e-13,7.83758717648464e-11,-4.784261637032217e-13,-5.0554749830624286e-12,-3.8707770322332635e-09,3.604178205884878e-09,2.361377825048361e-10,-3.036991574889569e-08,1.8528415618185995e-10,3.9303890176575576e-11,-48.74597632759708,-40.09519053661187,8.767575913985218e-08,0.0004553624760241566,-2.106667181458535e-13,-3.899946502872679e-11,-48.745976339066644,-40.09519053489533,8.768075631406068e-08,0.00045536181429735664,1.1331070925345826e-13,-7.830335520530236e-11,-1.1469566629784822e-08,1.7165362464766076e-09,4.99717420850666e-12,-6.617267999829354e-10,3.2397742739931176e-13,-1.6067275334947293e-08,-4.444249773593953e-11,1.2132238657519558e-08
148,-1.2019012501565916e-10,0.6439862970072038,-0.0026201109424608725,-3.14001358466108,0.934871785968448,0.0015785018912030165,-7.72511122227254e-15,-7.56075063668149e-12,5.7079774934409855e-12,3.9619806187999457e-13,-4.8165443855552326e-11,2.935911537211948e-13,-4.2950939054765195e-14,1.296879270640261e-11,3.3777980412708075e-11,-3.248114667855906e-11,1.0159006968990525e-09,-7.403617107402949e-12,-3.8665021375240684e-11,-48.74597633885237,-40.09519053512864,8.768075847195845e-08,0.0004553618143312832,1.1329531699774657e-13,-4.674476358691228e-13,-48.745976332692436,-40.09519053523483,8.767751408402698e-08,0.00045536216500533254,9.075998188923103e-14,3.819757373937156e-11,6.159936560834467e-09,-1.0619061185934697e-10,-3.24438793146985e-12,3.506740493147177e-10,-2.253533510851554e-14,7.50220646837697e-09,2.1658461746503635e-11,-6.119534553701478e-09
149,-1.201901579492986e-10,0.6439862970071725,-0.0026201109424365027,-3.1400135846610793,0.9348717859682649,0.0015785018912041113,-7.904073468334061e-15,-7.506714000404813e-12,5.848719078493936e-12,2.608599507193318e-13,-4.393252428513961e-11,2.6274274910701584e-13,5.069489184467607e-12,3.886306276790208e-09,-3.63214874843365e-09,-2.0113625446172706e-10,2.925333142389519e-08,-1.7716954531059315e-10,-6.635749056097771e-13,-48.74597633288237,-40.09519053509258,8.767751420388759e-08,0.00045536216498291796,9.076345104034389e-14,3.92482937538943e-11,-48.745976327248705,-40.09519053661282,8.767576252852973e-08,0.0004553624764542191,-2.1049068908696142e-13,3.991186865950408e-11,5.633665978166391e-09,-1.5202417102955224e-09,-1.7516753578569813e-12,3.1147130111642413e-10,-3.012541401273053e-13,8.833658093759571e-09,2.2675388670825505e-11,-6.291546509526234e-09
150,-1.2019010287097305e-10,0.6439862970072087,-0.0026201109424751914,-3.1400135846610815,0.9348717859685898,0.0015785018912021303,1.3218798133614302e-14,8.686228819554387e-12,-9.285234039979606e-12,-5.772077762045309e-13,7.795635664775702e-11,-4.754636896871223e-13,-5.0556270932390965e-12,-3.853748153925807e-09,3.6009432935468766e-09,2.34112491762431e-10,-3.0359527392054275e-08,1.852939774272394e-10,3.9047956873324075e-11,-48.74597632743724,-40.095190536466994,8.767576323325426e-08,0.00045536247643383646,-2.1047207945406427e-13,-3.9007305803731346e-11,-48.7459763389389,-40.09519053478583,8.768072371723745e-08,0.00045536181462516766,1.2206701506091053e-13,-7.805526267705543e-11,-1.1501661845159106e-08,1.6811654290904698e-09,4.960483983184035e-12,-6.618086687937112e-10,3.325390945149748e-13,-1.605727145020893e-08,-4.430255380043989e-11,1.2146971076602576e-08
151,-1.201901355639512e-10,0.6439862970071779,-0.0026201109424513636,-3.1400135846610797,0.9348717859683875,0.001578501891203366,-7.846314754881934e-15,-7.371055155136474e-12,5.718696349799046e-12,3.9826093947226485e-13,-4.854167415246913e-11,2.9659454959304193e-13,5.037999363518845e-12,3.867109132915658e-09,-3.6090110067110714e-09,-2.3142804079362422e-10,3.030310335994102e-08,-1.8465954026297693e-10,-3.8671366311642526e-11,-48.74597633872156,-40.095190535018446,8.768072430324576e-08,0.0004553618146589878,1.2205057190939534e-13,3.887975261207468e-11,-48.7459763272152,-40.09519053653293,8.767531379665784e-08,0.00045536248897036524,-1.294009150927264e-13,7.755111892371721e-11,1.150635853264248e-08,-1.5144863141358655e-09,-5.4105065879170745e-12,6.743113774602613e-10,-2.5145148700212174e-13,1.5827940625739507e-08,4.4004092662175e-11,-1.206803369476814e-08
152,-1.201900807916626e-10,0.6439862970072143,-0.0026201109424901924,-3.140013584661082,0.9348717859687113,0.001578501891201396,1.3145349259779921e-14,8.741899565345435e-12,-9.318849511497085e-12,-5.660225638345028e-13,7.772125651395179e-11,-4.728202015026953e-13,-5.025191729842086e-12,-3.849918717158118e-09,3.6041890305593682e-09,2.3178236673720987e-10,-3.03469407936241e-08,1.8502102194090098e-10,3.868021330766699e-11,-48.745976327400314,-40.09519053639032,8.76753145827653e-08,0.00045536248894790225,-1.2939699829545028e-13,-3.877629262670562e-11,-48.74597633887786,-40.095190534724495,8.768068747667956e-08,0.0004553618149235936,1.3032565099981932e-13,-7.745650593437261e-11,-1.1477546024707408e-08,1.6658248114254093e-09,5.37289391426726e-12,-6.740243086431931e-10,2.5972264929526963e-13,-1.6002464090754954e-08,-4.3952242214370036e-11,1.2113084638646108e-08
153,-1.20190113262286e-10,0.6439862970071839,-0.0026201109424664483,-3.14001358466108,0.9348717859685083,0.0015785018912026381,-7.792949614562104e-15,-7.299428422813392e-12,5.698604782500283e-12,3.9973729757053836e-13,-4.872433012614863e-11,2.981007232510588e-13,-8.39059466132793e-14,2.6079138848444927e-11,3.62726515490408e-11,-3.545753127958198e-11,1.025892704120679e-09,-7.735726122171105e-12,-3.8444910505175203e-11,-48.745976338659226,-40.09519053495805,8.76806878161767e-08,0.00045536181495724946,1.3030796853211133e-13,-8.037318054344598e-13,-48.745976332553575,-40.09519053510491,8.767746743317639e-08,0.0004553621654056134,1.0082044948755964e-13,3.764117869974074e-11,6.105651095822395e-09,-1.468620780542551e-10,-3.2203830003010786e-12,3.504483639588975e-10,-2.948751904455169e-14,7.49265422241175e-09,2.134314006172771e-11,-6.0853057676637036e-09
154,-1.2019014718960987e-10,0.6439862970071539,-0.0026201109424420746,-3.1400135846610793,0.9348717859683231,0.001578501891203746,-8.142557725450768e-15,-7.190765344278205e-12,5.849740830621286e-12,2.5199758390561343e-13,-4.444977719231247e-11,2.6586853107534586e-13,5.100834474066997e-12,3.897781264416977e-09,-3.632186218460731e-09,-1.9935124352058603e-10,2.926661663016361e-08,-1.7701095634831826e-10,-1.0041297723850106e-12,-48.74597633273689,-40.09519053496281,8.767746779595052e-08,0.00045536216538307145,1.0082447862587203e-13,3.9504118980794817e-11,-48.745976327145314,-40.09519053651952,8.76757909295309e-08,0.0004553624768067059,-2.1665670189385515e-13,4.050824875317983e-11,5.591573426499963e-09,-1.5567067634947307e-09,-1.676866419617223e-12,3.1142363443896134e-10,-3.174811805197272e-13,8.833026267692392e-09,2.3015910938537702e-11,-6.267380981156218e-09
155,-1.2019009256077965e-10,0.6439862970071917,-0.0026201109424807594,-3.1400135846610815,0.934871785968646,0.0015785018912017807,1.3110919249828385e-14,9.049989924125867e-12,-9.284368412965094e-12,-5.786325974301617e-13,7.749445876670258e-11,-4.716771203759802e-13,-5.039591466763537e-12,-3.849843777103956e-09,3.6040828654826385e-09,2.344732269671593e-10,-3.034821144387578e-08,1.8527136530673005e-10,3.929713343386443e-11,-48.74597632732581,-40.09519053637354,8.767579211764794e-08,0.0004553624767864393,-2.1663585809051968e-13,-3.887892593457058e-11,-48.74597633887792,-40.09519053472529,8.768072981279513e-08,0.0004553618148998517,1.2054769086426798e-13,-7.817605936843501e-11,-1.1552103273970715e-08,1.648253089570062e-09,4.937695147196743e-12,-6.618865875849221e-10,3.3718354895478764e-13,-1.6072944808190332e-08,-4.4371811981985464e-11,1.2181177861022709e-08
156,-1.2019012542485686e-10,0.6439862970071626,-0.0026201109424568735,-3.1400135846610797,0.934871785968442,0.001578501891203032,-7.887378528353018e-15,-6.991025813807283e-12,5.7326435265459e-12,3.983391815996686e-13,-4.895642224944652e-11,3.00286901735395e-13,-7.772982176024233e-14,2.5383861679273423e-11,3.5624003746903554e-11,-3.505795913988363e-11,1.0344400336315118e-09,-7.791913273456907e-12,-3.8547354021154934e-11,-48.74597633865135,-40.09519053495776,8.768072904791886e-08,0.00045536181493375816,1.205324384638006e-13,-7.535414648994699e-13,-48.74597633256485,-40.095190535116735,8.767747423096517e-08,0.00045536216547129537,9.880839290838363e-14,3.779381255625546e-11,6.086501969093661e-09,-1.5897683169896482e-10,-3.2548169536939094e-12,3.5053753720233963e-10,-2.1724045555416975e-14,7.486136811686018e-09,2.1428871108569806e-11,-6.072111618039884e-09
157,-1.2019015963841013e-10,0.643986297007134,-0.0026201109424323693,-3.140013584661079,0.9348717859682559,0.0015785018912041478,-8.211252785687361e-15,-6.8852597234769775e-12,5.881076875491331e-12,2.522643518501535e-13,-4.464625544264855e-11,2.6782059642932454e-13,5.0988581503246834e-12,3.893556310696766e-09,-3.6309688589142297e-09,-1.9956902748202374e-10,2.9273826696041283e-08,-1.7720605744505485e-10,-9.524197982362845e-13,-48.74597633274029,-40.09519053497364,8.7677472518712e-08,0.0004553621654489595,9.881320415348539e-14,3.9486614211280715e-11,-48.74597632717323,-40.095190536543086,8.76757883075589e-08,0.00045536247684016605,-2.1710130751006797e-13,4.0439034009517e-11,5.567059702116239e-09,-1.5694467947469093e-09,-1.6842111530921276e-12,3.113912065482935e-10,-3.159145116635534e-13,8.820903708476336e-09,2.297635991188642e-11,-6.249170954380594e-09
158,-1.2019010533012052e-10,0.6439862970071728,-0.0026201109424709022,-3.140013584661081,0.9348717859685781,0.001578501891202187,1.3033989507332153e-14,9.337891571092882e-12,-9.247960036651293e-12,-5.792732626582787e-13,7.732802245752346e-11,-4.70537976258404e-13,-5.024019069901336e-12,-3.853709851231457e-09,3.60472110494392e-09,2.343610966100765e-10,-3.0345127244313375e-08,1.851238986324416e-10,3.9276925373118577e-11,-48.74597632734594,-40.095190536396196,8.767579109022352e-08,0.00045536247681995245,-2.1708004728003602e-13,-3.8757142214765066e-11,-48.7459763389074,-40.09519053475132,8.768072872125812e-08,0.0004553618148776954,1.200969727929019e-13,-7.803406758788364e-11,-1.1561454016373318e-08,1.6448780115752015e-09,4.937631034597986e-12,-6.619422570296705e-10,3.3717702007293794e-13,-1.6079607899155424e-08,-4.429123765724894e-11,1.218883853803245e-08
159,-1.201901382443842e-10,0.6439862970071448,-0.0026201109424468533,-3.1400135846610793,0.9348717859683735,0.0015785018912034404,-7.899423283923415e-15,-6.719232809038189e-12,5.771711233948373e-12,3.9723130655037325e-13,-4.91100077271156e-11,3.0081160137676935e-13,5.04922365438917e-12,3.8744141228619355e-09,-3.6161981742388605e-09,-2.335142365930687e-10,3.033008594277575e-08,-1.852148171161208e-10,-3.842800275809233e-11,-48.74597633867359,-40.09519053498284,8.768073088653633e-08,0.0004553618149116108,1.2008208527325203e-13,3.895824091102411e-11,-48.74597632720765,-40.095190536539505,8.767528276619627e-08,0.0004553624892395616,-1.2426192385895664e-13,7.738624366911644e-11,1.1465942861832445e-08,-1.556664130930585e-09,-5.448120340064824e-12,6.743279507915104e-10,-2.443440091322087e-13,1.583722666908252e-08,4.390955837516272e-11,-1.204830802577108e-08
160,-1.2019008349851498e-10,0.6439862970071841,-0.002620110942485586,-3.1400135846610815,0.9348717859686955,0.0015785018912014782,1.3139008609364792e-14,9.424159369553209e-12,-9.295781158713545e-12,-5.757446792540796e-13,7.726535036778337e-11,-4.70916803273734e-13,-5.056085027837744e-12,-3.851430008250389e-09,3.602125264734468e-09,2.315469991849388e-10,-3.033360645998684e-08,1.850950545178448e-10,3.875910875350204e-11,-48.74597632737626,-40.0951905363954,8.767528313260411e-08,0.0004553624892172696,-1.2425681228967791e-13,-3.902036907467003e-11,-48.74597633890824,-40.09519053475636,8.768068337688747e-08,0.00045536181500233005,1.3171393290864924e-13,-7.777947782817207e-11,-1.153198070369399e-08,1.6390373502872535e-09,5.40024428336314e-12,-6.742149395743725e-10,2.5597074519832716e-13,-1.603142081155114e-08,-4.4135053477590843e-11,1.215423004801147e-08
161,-1.2019011653189972e-10,0.6439862970071565,-0.0026201109424617815,-3.1400135846610797,0.9348717859684907,0.0015785018912027296,-7.928012339959142e-15,-6.6234656648234136e-12,5.713074111013405e-12,3.8903448401649866e-13,-4.912467654882846e-11,3.003125905506193e-13,-3.783591355057737e-14,2.1881663148093367e-11,3.4240943413976765e-11,-3.338654873397129e-11,1.0425602048336202e-09,-7.672057975895152e-12,-3.8689373318430535e-11,-48.745976338672236,-40.09519053498905,8.768068463142654e-08,0.00045536181503635817,1.316983485808523e-13,-4.310472383542218e-13,-48.745976332607874,-40.095190535158316,8.767750090423766e-08,0.0004553621654787419,9.288043885838198e-14,3.8258326080076313e-11,6.064361457447376e-09,-1.6926549051277107e-10,-3.183727188881544e-12,3.504423837165545e-10,-3.881790972247032e-14,7.473525764602103e-09,2.1694367689131974e-11,-6.055084312903331e-09
162,-1.2019015022215796e-10,0.6439862970071293,-0.0026201109424373826,-3.140013584661079,0.9348717859683041,0.0015785018912038476,-8.085661979753214e-15,-6.5322920683730246e-12,5.855744708571642e-12,2.499238642916183e-13,-4.4780675695355043e-11,2.6834568231772285e-13,5.072041333912958e-12,3.8862771334358115e-09,-3.6290562221985567e-09,-2.0103540495719843e-10,2.9276593649374405e-08,-1.771655039469952e-10,-6.346566866150465e-13,-48.74597633277408,-40.095190535015675,8.767750259652034e-08,0.0004553621654565101,9.288682320954637e-14,3.926977060776336e-11,-48.74597632722348,-40.095190536585356,8.767576437912259e-08,0.0004553624767972822,-2.107401701807036e-13,3.990442729437841e-11,5.550596426928678e-09,-1.5696812738497101e-09,-1.7382173977472483e-12,3.113407721195248e-10,-3.0362699339024996e-13,8.801257866564177e-09,2.267133831432095e-11,-6.2328943995839585e-09
